"","Isolate_Id","PB2.Segment_Id","PB1.Segment_Id","PA.Segment_Id","HA.Segment_Id","NP.Segment_Id","NA.Segment_Id","MP.Segment_Id","NS.Segment_Id","HE.Segment_Id","P3.Segment_Id","Isolate_Name","Subtype","Lineage","Passage_History","Location","Host","Isolate_Submitter","Submitting_Lab","Submitting_Sample_Id","Authors","Publication","Originating_Lab","Originating_Sample_Id","Collection_Date","Note","Update_Date","Submission_Date","Antigen_Character","Animal_Vaccin_Product","Adamantanes_Resistance_geno","Oseltamivir_Resistance_geno","Zanamivir_Resistance_geno","Peramivir_Resistance_geno","Other_Resistance_geno","Adamantanes_Resistance_pheno","Oseltamivir_Resistance_pheno","Zanamivir_Resistance_pheno","Peramivir_Resistance_pheno","Other_Resistance_pheno","Host_Age","Host_Age_Unit","Host_Gender","Patient_Status","Zip_Code","Outbreak","Pathogen_Test_Info","Is_Vaccinated","Human_Specimen_Source","Animal_Specimen_Source","Animal_Health_Status","Domestic_Status","PMID","PB2.INSDC_Upload","PB1.INSDC_Upload","PA.INSDC_Upload","HA.INSDC_Upload","NP.INSDC_Upload","NA.INSDC_Upload","MP.INSDC_Upload","NS.INSDC_Upload","HE.INSDC_Upload","P3.INSDC_Upload","newloc","classloc"
"101","EPI_ISL_219773","EPI749438 | A/Environment/Chongqing/28976/2014-PB2","EPI749439 | A/Environment/Chongqing/28976/2014-PB1","EPI749437 | A/Environment/Chongqing/28976/2014-PA","EPI749441 | A/Environment/Chongqing/28976/2014-HA","EPI749434 | A/Environment/Chongqing/28976/2014-NP","EPI749440 | A/Environment/Chongqing/28976/2014-NA","EPI749436 | A/Environment/Chongqing/28976/2014-MP","EPI749435 | A/Environment/Chongqing/28976/2014-NS",NA,NA,"A/Environment/Chongqing/28976/2014","A / H5N1",NA,"E1","Asia / China / Chongqing","Environment","Lei Yang (WHO Chinese National Influenza Center / Virology Institute, Chinese CDC)","WHO Chinese National Influenza Center","","Wang,Dayan;Li,Xiaodan;Zou,Shumei;Zhang,Ye;Bo,Hong;Li,Xiyan;Chen,Wenbing;Yang,Lei;Shu,Yuelong","","","",2014.214,"",2016.354,2016.354,NA,NA,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown",NA,"Y","","",NA,"",NA,NA,"","","","",NA,"","","","","","","","",NA,NA,"Chongqing","SW"
"102","EPI_ISL_219771","EPI749422 | A/Environment/Hunan/25952/2014-PB2","EPI749423 | A/Environment/Hunan/25952/2014-PB1","EPI749421 | A/Environment/Hunan/25952/2014-PA","EPI749425 | A/Environment/Hunan/25952/2014-HA","EPI749418 | A/Environment/Hunan/25952/2014-NP","EPI749424 | A/Environment/Hunan/25952/2014-NA","EPI749420 | A/Environment/Hunan/25952/2014-MP","EPI749419 | A/Environment/Hunan/25952/2014-NS",NA,NA,"A/Environment/Hunan/25952/2014","A / H5N1",NA,"E1","Asia / China / Hunan","Environment","Lei Yang (WHO Chinese National Influenza Center / Virology Institute, Chinese CDC)","WHO Chinese National Influenza Center","","Wang,Dayan;Li,Xiaodan;Zou,Shumei;Zhang,Ye;Bo,Hong;Li,Xiyan;Chen,Wenbing;Yang,Lei;Shu,Yuelong","","","",2014.227,"",2016.354,2016.354,NA,NA,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown",NA,"Y","","",NA,"",NA,NA,"","","","",NA,"","","","","","","","",NA,NA,"Hunan","CT"
"104","EPI_ISL_219762","EPI749350 | A/environment/Guangxi/03235/2012-PB2","EPI749351 | A/environment/Guangxi/03235/2012-PB1","EPI749349 | A/environment/Guangxi/03235/2012-PA","EPI749353 | A/environment/Guangxi/03235/2012-HA","EPI749346 | A/environment/Guangxi/03235/2012-NP","EPI749352 | A/environment/Guangxi/03235/2012-NA","EPI749348 | A/environment/Guangxi/03235/2012-MP","EPI749347 | A/environment/Guangxi/03235/2012-NS",NA,NA,"A/environment/Guangxi/03235/2012","A / H5N1",NA,"E2","Asia / China / Guangxi","Environment","Lei Yang (WHO Chinese National Influenza Center / Virology Institute, Chinese CDC)","WHO Chinese National Influenza Center","","Wang,Dayan;Li,Xiaodan;Zou,Shumei;Zhang,Ye;Bo,Hong;Li,Xiyan;Chen,Wenbing;Yang,Lei;Shu,Yuelong","","","",2012.601,"",2016.354,2016.354,NA,NA,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown",NA,"Y","","",NA,"",NA,NA,"","","","",NA,"","","","","","","","",NA,NA,"Guangxi","SW"
"105","EPI_ISL_219761","EPI749342 | A/environment/Chongqing/20363/2013-PB2","EPI749343 | A/environment/Chongqing/20363/2013-PB1","EPI749341 | A/environment/Chongqing/20363/2013-PA","EPI749345 | A/environment/Chongqing/20363/2013-HA","EPI749338 | A/environment/Chongqing/20363/2013-NP","EPI749344 | A/environment/Chongqing/20363/2013-NA","EPI749340 | A/environment/Chongqing/20363/2013-MP","EPI749339 | A/environment/Chongqing/20363/2013-NS",NA,NA,"A/environment/Chongqing/20363/2013","A / H5N1",NA,"E1","Asia / China / Chongqing","Environment","Lei Yang (WHO Chinese National Influenza Center / Virology Institute, Chinese CDC)","WHO Chinese National Influenza Center","","Wang,Dayan;Li,Xiaodan;Zou,Shumei;Zhang,Ye;Bo,Hong;Li,Xiyan;Chen,Wenbing;Yang,Lei;Shu,Yuelong","","","",2013.879,"",2016.354,2016.354,NA,NA,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown",NA,"Y","","",NA,"",NA,NA,"","","","",NA,"","","","","","","","",NA,NA,"Chongqing","SW"
"107","EPI_ISL_219756","EPI749302 | A/Environment/Chongqing/45138/2015-PB2","EPI749303 | A/Environment/Chongqing/45138/2015-PB1","EPI749301 | A/Environment/Chongqing/45138/2015-PA","EPI749305 | A/Environment/Chongqing/45138/2015-HA","EPI749298 | A/Environment/Chongqing/45138/2015-NP","EPI749304 | A/Environment/Chongqing/45138/2015-NA","EPI749300 | A/Environment/Chongqing/45138/2015-MP","EPI749299 | A/Environment/Chongqing/45138/2015-NS",NA,NA,"A/Environment/Chongqing/45138/2015","A / H5N1",NA,"E1","Asia / China / Chongqing","Environment","Lei Yang (WHO Chinese National Influenza Center / Virology Institute, Chinese CDC)","WHO Chinese National Influenza Center","","Wang,Dayan;Li,Xiaodan;Zou,Shumei;Zhang,Ye;Bo,Hong;Li,Xiyan;Chen,Wenbing;Yang,Lei;Shu,Yuelong","","","",2015.115,"",2016.354,2016.354,NA,NA,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown",NA,"Y","","",NA,"",NA,NA,"","","","",NA,"","","","","","","","",NA,NA,"Chongqing","SW"
"108","EPI_ISL_219754","EPI749286 | A/Environment/Chongqing/45121/2015-PB2","EPI749287 | A/Environment/Chongqing/45121/2015-PB1","EPI749285 | A/Environment/Chongqing/45121/2015-PA","EPI749289 | A/Environment/Chongqing/45121/2015-HA","EPI749282 | A/Environment/Chongqing/45121/2015-NP","EPI749288 | A/Environment/Chongqing/45121/2015-NA","EPI749284 | A/Environment/Chongqing/45121/2015-MP","EPI749283 | A/Environment/Chongqing/45121/2015-NS",NA,NA,"A/Environment/Chongqing/45121/2015","A / H5N1",NA,"E1","Asia / China / Chongqing","Environment","Lei Yang (WHO Chinese National Influenza Center / Virology Institute, Chinese CDC)","WHO Chinese National Influenza Center","","Wang,Dayan;Li,Xiaodan;Zou,Shumei;Zhang,Ye;Bo,Hong;Li,Xiyan;Chen,Wenbing;Yang,Lei;Shu,Yuelong","","","",2015.052,"",2016.354,2016.354,NA,NA,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown",NA,"Y","","",NA,"",NA,NA,"","","","",NA,"","","","","","","","",NA,NA,"Chongqing","SW"
"109","EPI_ISL_219753","EPI749278 | A/Environment/Chongqing/45133/2015-PB2","EPI749279 | A/Environment/Chongqing/45133/2015-PB1","EPI749277 | A/Environment/Chongqing/45133/2015-PA","EPI749281 | A/Environment/Chongqing/45133/2015-HA","EPI749274 | A/Environment/Chongqing/45133/2015-NP","EPI749280 | A/Environment/Chongqing/45133/2015-NA","EPI749276 | A/Environment/Chongqing/45133/2015-MP","EPI749275 | A/Environment/Chongqing/45133/2015-NS",NA,NA,"A/Environment/Chongqing/45133/2015","A / H5N1",NA,"E1","Asia / China / Chongqing","Environment","Lei Yang (WHO Chinese National Influenza Center / Virology Institute, Chinese CDC)","WHO Chinese National Influenza Center","","Wang,Dayan;Li,Xiaodan;Zou,Shumei;Zhang,Ye;Bo,Hong;Li,Xiyan;Chen,Wenbing;Yang,Lei;Shu,Yuelong","","","",2015.052,"",2016.354,2016.354,NA,NA,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown",NA,"Y","","",NA,"",NA,NA,"","","","",NA,"","","","","","","","",NA,NA,"Chongqing","SW"
"110","EPI_ISL_219751","EPI749262 | A/Environment/Chongqing/45160/2015-PB2","EPI749263 | A/Environment/Chongqing/45160/2015-PB1","EPI749261 | A/Environment/Chongqing/45160/2015-PA","EPI749265 | A/Environment/Chongqing/45160/2015-HA","EPI749258 | A/Environment/Chongqing/45160/2015-NP","EPI749264 | A/Environment/Chongqing/45160/2015-NA","EPI749260 | A/Environment/Chongqing/45160/2015-MP","EPI749259 | A/Environment/Chongqing/45160/2015-NS",NA,NA,"A/Environment/Chongqing/45160/2015","A / H5N1",NA,"E1","Asia / China / Chongqing","Environment","Lei Yang (WHO Chinese National Influenza Center / Virology Institute, Chinese CDC)","WHO Chinese National Influenza Center","","Wang,Dayan;Li,Xiaodan;Zou,Shumei;Zhang,Ye;Bo,Hong;Li,Xiyan;Chen,Wenbing;Yang,Lei;Shu,Yuelong","","","",2015.115,"",2016.354,2016.354,NA,NA,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown",NA,"Y","","",NA,"",NA,NA,"","","","",NA,"","","","","","","","",NA,NA,"Chongqing","SW"
"111","EPI_ISL_219746","EPI749222 | A/Environment/Chongqing/45182/2015-PB2","EPI749223 | A/Environment/Chongqing/45182/2015-PB1","EPI749221 | A/Environment/Chongqing/45182/2015-PA","EPI749225 | A/Environment/Chongqing/45182/2015-HA","EPI749218 | A/Environment/Chongqing/45182/2015-NP","EPI749224 | A/Environment/Chongqing/45182/2015-NA","EPI749220 | A/Environment/Chongqing/45182/2015-MP","EPI749219 | A/Environment/Chongqing/45182/2015-NS",NA,NA,"A/Environment/Chongqing/45182/2015","A / H5N1",NA,"E1","Asia / China / Chongqing","Environment","Lei Yang (WHO Chinese National Influenza Center / Virology Institute, Chinese CDC)","WHO Chinese National Influenza Center","","Wang,Dayan;Li,Xiaodan;Zou,Shumei;Zhang,Ye;Bo,Hong;Li,Xiyan;Chen,Wenbing;Yang,Lei;Shu,Yuelong","","","",2015.189,"",2016.354,2016.354,NA,NA,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown",NA,"Y","","",NA,"",NA,NA,"","","","",NA,"","","","","","","","",NA,NA,"Chongqing","SW"
"112","EPI_ISL_219745","EPI749214 | A/Environment/Chongqing/45203/2015-PB2","EPI749215 | A/Environment/Chongqing/45203/2015-PB1","EPI749213 | A/Environment/Chongqing/45203/2015-PA","EPI749217 | A/Environment/Chongqing/45203/2015-HA","EPI749210 | A/Environment/Chongqing/45203/2015-NP","EPI749216 | A/Environment/Chongqing/45203/2015-NA","EPI749212 | A/Environment/Chongqing/45203/2015-MP","EPI749211 | A/Environment/Chongqing/45203/2015-NS",NA,NA,"A/Environment/Chongqing/45203/2015","A / H5N1",NA,"E1","Asia / China / Chongqing","Environment","Lei Yang (WHO Chinese National Influenza Center / Virology Institute, Chinese CDC)","WHO Chinese National Influenza Center","","Wang,Dayan;Li,Xiaodan;Zou,Shumei;Zhang,Ye;Bo,Hong;Li,Xiyan;Chen,Wenbing;Yang,Lei;Shu,Yuelong","","","",2015.211,"",2016.354,2016.354,NA,NA,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown",NA,"Y","","",NA,"",NA,NA,"","","","",NA,"","","","","","","","",NA,NA,"Chongqing","SW"
