"","Isolate_Id","PB2.Segment_Id","PB1.Segment_Id","PA.Segment_Id","HA.Segment_Id","NP.Segment_Id","NA.Segment_Id","MP.Segment_Id","NS.Segment_Id","HE.Segment_Id","P3.Segment_Id","Isolate_Name","Subtype","Lineage","Passage_History","Location","Host","Isolate_Submitter","Submitting_Lab","Submitting_Sample_Id","Authors","Publication","Originating_Lab","Originating_Sample_Id","Collection_Date","Note","Update_Date","Submission_Date","Antigen_Character","Animal_Vaccin_Product","Adamantanes_Resistance_geno","Oseltamivir_Resistance_geno","Zanamivir_Resistance_geno","Peramivir_Resistance_geno","Other_Resistance_geno","Adamantanes_Resistance_pheno","Oseltamivir_Resistance_pheno","Zanamivir_Resistance_pheno","Peramivir_Resistance_pheno","Other_Resistance_pheno","Host_Age","Host_Age_Unit","Host_Gender","Patient_Status","Zip_Code","Outbreak","Pathogen_Test_Info","Is_Vaccinated","Human_Specimen_Source","Animal_Specimen_Source","Animal_Health_Status","Domestic_Status","PMID","PB2.INSDC_Upload","PB1.INSDC_Upload","PA.INSDC_Upload","HA.INSDC_Upload","NP.INSDC_Upload","NA.INSDC_Upload","MP.INSDC_Upload","NS.INSDC_Upload","HE.INSDC_Upload","P3.INSDC_Upload","newloc","classloc"
"715","EPI_ISL_29174","EPI174657 | A/duck/Hunan/689/2006","EPI174673 | A/duck/Hunan/689/2006","EPI174689 | A/duck/Hunan/689/2006","EPI174641 | A/duck/Hunan/689/2006","EPI174705 | A/duck/Hunan/689/2006","EPI174721 | A/duck/Hunan/689/2006","EPI174609 | A/duck/Hunan/689/2006","EPI174625 | A/duck/Hunan/689/2006",NA,NA,"A/duck/Hunan/689/2006","A / H5N1",NA,"","Asia / China / Hunan Province","Duck","Unknown user","Other Database Import","","Chen,J.; Fang,F.; Yang,Z.; Liu,X.; Zhang,H.; Zhang,Z.; Zhang,X.; Chen,Z.","","","689",2006.953,"",2012.385,2009.129,NA,NA,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown",NA,"Y","","",NA,"",NA,NA,"","","","",NA,"FJ784825","FJ784809","FJ784793","FJ784841","FJ784777","FJ784761","FJ784873","FJ784857",NA,NA,"Hunan","CT"
"731","EPI_ISL_15681","EPI136482 | A/duck/Yunnan/522/2004","EPI136484 | A/duck/Yunnan/522/2004","EPI136487 | A/duck/Yunnan/522/2004","EPI136489 | A/duck/Yunnan/522/2004","EPI136491 | A/duck/Yunnan/522/2004","EPI136493 | A/duck/Yunnan/522/2004","EPI136495 | A/duck/Yunnan/522/2004","EPI136498 | A/duck/Yunnan/522/2004",NA,NA,"A/duck/Yunnan/522/2004","A / H5N1",NA,"","Asia / China / Yunnan Province","Duck","Unknown user","Other Database Import","","","","","522",2004,"",NA,NA,NA,NA,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown",NA,"Y","","",NA,"",NA,NA,"","","","",NA,"CY029501","CY029502","CY029503","CY028996","CY029504","CY029505","CY029506","CY029507",NA,NA,"Yunnan","SW"
"732","EPI_ISL_15674","EPI136349 | A/duck/Yunnan/6603/2003","EPI136351 | A/duck/Yunnan/6603/2003","EPI136354 | A/duck/Yunnan/6603/2003","EPI136356 | A/duck/Yunnan/6603/2003","EPI136358 | A/duck/Yunnan/6603/2003","EPI136360 | A/duck/Yunnan/6603/2003","EPI136362 | A/duck/Yunnan/6603/2003","EPI136365 | A/duck/Yunnan/6603/2003",NA,NA,"A/duck/Yunnan/6603/2003","A / H5N1",NA,"","Asia / China / Yunnan Province","Duck","Unknown user","Other Database Import","","","","","6603",2003,"",NA,NA,NA,NA,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown",NA,"Y","","",NA,"",NA,NA,"","","","",NA,"CY029452","CY029453","CY029454","CY028989","CY029455","CY029456","CY029457","CY029458",NA,NA,"Yunnan","SW"
"733","EPI_ISL_15655","EPI135988 | A/duck/Hunan/733/2004","EPI135990 | A/duck/Hunan/733/2004","EPI135993 | A/duck/Hunan/733/2004","EPI135995 | A/duck/Hunan/733/2004","EPI135997 | A/duck/Hunan/733/2004","EPI135999 | A/duck/Hunan/733/2004","EPI136001 | A/duck/Hunan/733/2004","EPI136004 | A/duck/Hunan/733/2004",NA,NA,"A/duck/Hunan/733/2004","A / H5N1",NA,"","Asia / China / Hunan Province","Duck","Unknown user","Other Database Import","","","","","733",2004,"",NA,NA,NA,NA,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown",NA,"Y","","",NA,"",NA,NA,"","","","",NA,"CY029319","CY029320","CY029321","CY028970","CY029322","CY029323","CY029324","CY029325",NA,NA,"Hunan","CT"
"734","EPI_ISL_15654","EPI135969 | A/duck/Hunan/533/2004","EPI135971 | A/duck/Hunan/533/2004","EPI135974 | A/duck/Hunan/533/2004","EPI135976 | A/duck/Hunan/533/2004","EPI135978 | A/duck/Hunan/533/2004","EPI135980 | A/duck/Hunan/533/2004","EPI135982 | A/duck/Hunan/533/2004","EPI135985 | A/duck/Hunan/533/2004",NA,NA,"A/duck/Hunan/533/2004","A / H5N1",NA,"","Asia / China / Hunan Province","Duck","Unknown user","Other Database Import","","","","","533",2004,"",NA,NA,NA,NA,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown",NA,"Y","","",NA,"",NA,NA,"","","","",NA,"CY029312","CY029313","CY029314","CY028969","CY029315","CY029316","CY029317","CY029318",NA,NA,"Hunan","CT"
"735","EPI_ISL_15274","EPI132523 | A/duck/Guangxi/12/2003","EPI132525 | A/duck/Guangxi/12/2003","EPI132528 | A/duck/Guangxi/12/2003","EPI132530 | A/duck/Guangxi/12/2003","EPI132532 | A/duck/Guangxi/12/2003","EPI132534 | A/duck/Guangxi/12/2003","EPI132536 | A/duck/Guangxi/12/2003","EPI132539 | A/duck/Guangxi/12/2003",NA,NA,"A/duck/Guangxi/12/2003","A / H5N1",NA,"","Asia / China / Guangxi Zhuang Autonomous Region","Duck","Unknown user","Other Database Import","","","","","12",2003,"",NA,NA,NA,NA,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown",NA,"Y","","",NA,"",NA,NA,"","","","",NA,"EU263342","EU263343","EU263344","EU263345","EU263346","EU263347","EU263348","EU263349",NA,NA,"Guangxi","SW"
"736","EPI_ISL_13989","EPI127412 | A/wild_duck/Hunan/211/2005","EPI127410 | A/wild_duck/Hunan/211/2005","EPI127408 | A/wild_duck/Hunan/211/2005","EPI127406 | A/wild_duck/Hunan/211/2005","EPI127404 | A/wild_duck/Hunan/211/2005","EPI127402 | A/wild_duck/Hunan/211/2005","EPI127399 | A/wild_duck/Hunan/211/2005","EPI127396 | A/wild_duck/Hunan/211/2005",NA,NA,"A/wild duck/Hunan/211/2005","A / H5N1",NA,"","Asia / China / Hunan Province","Duck","Unknown user","Other Database Import","","","","","211",2005,"",NA,NA,NA,NA,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown",NA,"Y","","",NA,"",NA,NA,"","","","",NA,"EU329189","EU329188","EU329187","EU329186","EU329185","EU329184","EU329183","EU329182",NA,NA,"Hunan","CT"
"737","EPI_ISL_13988","EPI127378 | A/wild_duck/Hunan/021/2005","EPI127380 | A/wild_duck/Hunan/021/2005","EPI127382 | A/wild_duck/Hunan/021/2005","EPI127384 | A/wild_duck/Hunan/021/2005","EPI127386 | A/wild_duck/Hunan/021/2005","EPI127388 | A/wild_duck/Hunan/021/2005","EPI127390 | A/wild_duck/Hunan/021/2005","EPI127393 | A/wild_duck/Hunan/021/2005",NA,NA,"A/wild duck/Hunan/021/2005","A / H5N1",NA,"","Asia / China / Hunan Province","Duck","Unknown user","Other Database Import","","","","","21",2005,"",NA,NA,NA,NA,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown",NA,"Y","","",NA,"",NA,NA,"","","","",NA,"EU329174","EU329175","EU329176","EU329177","EU329178","EU329179","EU329180","EU329181",NA,NA,"Hunan","CT"
"744","EPI_ISL_4533","EPI25038 | A/duck/Guangdong/173/04","EPI25040 | A/duck/Guangdong/173/04","EPI25042 | A/duck/Guangdong/173/04","EPI25044 | A/duck/Guangdong/173/04","EPI25046 | A/duck/Guangdong/173/04","EPI25054 | A/duck/Guangdong/173/04","EPI25048 | A/duck/Guangdong/173/04","EPI25051 | A/duck/Guangdong/173/04",NA,NA,"A/duck/Guangdong/173/04","A / H5N1",NA,"","Asia / China / Guangdong Province","Duck","Unknown user","Other Database Import","","","","","173",2004,"",NA,NA,NA,NA,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown",NA,"Y","","",NA,"",NA,NA,"","","","",NA,"AY737301","AY737302","AY737303","AY737304","AY737305","AY737308","AY737306","AY737307",NA,NA,"Guangdong","PRD"
"747","EPI_ISL_3894","EPI21362 | A/duck/Guangdong/22/2002","EPI21320 | A/duck/Guangdong/22/2002","EPI21278 | A/duck/Guangdong/22/2002","EPI21064 | A/duck/Guangdong/22/2002","EPI21194 | A/duck/Guangdong/22/2002","EPI21152 | A/duck/Guangdong/22/2002","EPI21110 | A/duck/Guangdong/22/2002","EPI21236 | A/duck/Guangdong/22/2002",NA,NA,"A/duck/Guangdong/22/2002","A / H5N1",NA,"","Asia / China / Guangdong Province","Duck","Unknown user","Other Database Import","","","","","22",2002,"",NA,NA,NA,NA,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown",NA,"Y","","",NA,"",NA,NA,"","","","",NA,"AY585511","AY585490","AY585469","AY585362","AY585427","AY585406","AY585385","AY585448",NA,NA,"Guangdong","PRD"
"748","EPI_ISL_3889","EPI21348 | A/duck/Fujian/01/2002","EPI21306 | A/duck/Fujian/01/2002","EPI21264 | A/duck/Fujian/01/2002","EPI21054 | A/duck/Fujian/01/2002","EPI21180 | A/duck/Fujian/01/2002","EPI21138 | A/duck/Fujian/01/2002","EPI21096 | A/duck/Fujian/01/2002","EPI21222 | A/duck/Fujian/01/2002",NA,NA,"A/duck/Fujian/01/2002","A / H5N1",NA,"","Asia / China / Fujian Province","Duck","Initial import","Other Database Import","","Chen,H.L.; Deng,G.H.; Li,Z.J.; Tian,G.B.; Li,Y.B.; Jiao,P.; Zhang,L.; Liu,Z.; Webster,R.G.; Yu,K.","","","1",2002,"",2010.163,2004.245,NA,NA,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown",NA,"Y","","",NA,"",NA,NA,"","","","",NA,"AY585504","AY585483","AY585462","AY585357","AY585420","AY585399","AY585378","AY585441",NA,NA,"Fujian","PRD"
"776","EPI_ISL_29188","EPI174671 | A/duck/Hunan/3315/2006","EPI174687 | A/duck/Hunan/3315/2006","EPI174703 | A/duck/Hunan/3315/2006","EPI174655 | A/duck/Hunan/3315/2006","EPI174719 | A/duck/Hunan/3315/2006","EPI174735 | A/duck/Hunan/3315/2006","EPI174623 | A/duck/Hunan/3315/2006","EPI174639 | A/duck/Hunan/3315/2006",NA,NA,"A/duck/Hunan/3315/2006","A / H5N1",NA,"","Asia / China / Hunan Province","Anas sp.","Unknown user","Other Database Import","","","","","3315",2006.912,"",NA,NA,NA,NA,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown",NA,"Y","","",NA,"",NA,NA,"","","","",NA,"FJ784839","FJ784823","FJ784807","FJ784855","FJ784791","FJ784775","FJ784887","FJ784871",NA,NA,"Hunan","CT"
"809","EPI_ISL_78022","EPI276043 | A/goose/Hubei/65/2005","EPI276044 | A/goose/Hubei/65/2005","EPI276045 | A/goose/Hubei/65/2005","EPI276046 | A/goose/Hubei/65/2005","EPI276047 | A/goose/Hubei/65/2005","EPI276048 | A/goose/Hubei/65/2005","EPI276049 | A/goose/Hubei/65/2005","EPI276050 | A/goose/Hubei/65/2005",NA,NA,"A/goose/Hubei/65/2005","A / H5N1",NA,"","Asia / China / Hubei Province","Goose","Initial import","Other Database Import","","Li,Y.; Shi,J.; Zhong,G.; Deng,G.; Tian,G.; Ge,J.; Zeng,X.; Song,J.; Zhao,D.; Liu,L.; Jiang,Y.; Guan,Y.; Bu,Z.; Chen,H.","","","",2005,"",2010.607,2010.325,NA,NA,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown",NA,"Y","","",NA,"",NA,NA,"","","","",NA,"HM172450","HM172358","HM172312","HM172070","HM172215","HM172168","HM172117","HM172262",NA,NA,"Hubei","CT"
"810","EPI_ISL_77978","EPI275691 | A/bar-headed goose/Qinghai/1-HVRI/2006","EPI275692 | A/bar-headed goose/Qinghai/1-HVRI/2006","EPI275693 | A/bar-headed goose/Qinghai/1-HVRI/2006","EPI275694 | A/bar-headed goose/Qinghai/1-HVRI/2006","EPI275695 | A/bar-headed goose/Qinghai/1-HVRI/2006","EPI275696 | A/bar-headed goose/Qinghai/1-HVRI/2006","EPI275697 | A/bar-headed goose/Qinghai/1-HVRI/2006","EPI275698 | A/bar-headed goose/Qinghai/1-HVRI/2006",NA,NA,"A/bar-headed goose/Qinghai/1-HVRI/2006","A / H5N1",NA,"","Asia / China / Qinghai Province","Goose","Initial import","Other Database Import","","Li,Y.; Shi,J.; Zhong,G.; Deng,G.; Tian,G.; Ge,J.; Zeng,X.; Song,J.; Zhao,D.; Liu,L.; Jiang,Y.; Guan,Y.; Bu,Z.; Chen,H.","","","",2006,"",2010.607,2010.325,NA,NA,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown",NA,"Y","","",NA,"",NA,NA,"","","","",NA,"HM172415","HM172365","HM172332","HM172085","HM172218","HM172183","HM172132","HM172284",NA,NA,"Qinghai","NW"
"819","EPI_ISL_200998","EPI669757 | A/Bar-headed Goose/Qinghai/BTY2/2015_H5N1 PB2","EPI669758 | A/Bar-headed Goose/Qinghai/BTY2/2015_H5N1 PB1","EPI669756 | A/Bar-headed Goose/Qinghai/BTY2/2015_H5N1 PA","EPI669760 | A/Bar-headed Goose/Qinghai/BTY2/2015_H5N1 HA","EPI669753 | A/Bar-headed Goose/Qinghai/BTY2/2015_H5N1 NP","EPI669759 | A/Bar-headed Goose/Qinghai/BTY2/2015_H5N1 NA","EPI669755 | A/Bar-headed Goose/Qinghai/BTY2/2015_H5N1 M","EPI669754 | A/Bar-headed Goose/Qinghai/BTY2/2015_H5N1 NS",NA,NA,"A/Bar-headed Goose/Qinghai/BTY2/2015_H5N1","A / H5N1",NA,"Egg1","Asia / China / Qing hai","Anser indicus","Yuhai Bi (Institute of Microbiology, Chinese Academy of Sciences)","Institute of Microbiology, Chinese Academy of Sciences","","Jianjun, Chen","","State Key Laboratory of Virology and Wuhan Institute of Virology, Chinese Academy of Sciences","",2015.531,"",2015.826,2015.826,NA,NA,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown",NA,"Y","","",NA,"",NA,NA,"","","","",NA,"","","","","","","","",NA,NA,"Qinghai","NW"
"820","EPI_ISL_27756","","","","EPI171549 | A/bar-headed_goose/Qinghai/11/2008","","EPI171588 | A/bar-headed_goose/Qinghai/11/2008","","",NA,NA,"A/bar-headed goose/Qinghai/11/2008","A / H5N1",NA,"","Asia / China / Qinghai Province","Anser indicus","Unknown user","Other Database Import","","","","","11",2008.601,"",NA,NA,NA,NA,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown",NA,"Y","","",NA,"",NA,NA,"","","","",NA,"","","","FJ602826","","FJ602863","","",NA,NA,"Qinghai","NW"
"821","EPI_ISL_27749","","","","EPI171542 | A/bar-headed_goose/Qinghai/4/2008","","EPI171581 | A/bar-headed_goose/Qinghai/4/2008","","",NA,NA,"A/bar-headed goose/Qinghai/4/2008","A / H5N1",NA,"","Asia / China / Qinghai Province","Anser indicus","Unknown user","Other Database Import","","","","","4",2008.481,"",NA,NA,NA,NA,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown",NA,"Y","","",NA,"",NA,NA,"","","","",NA,"","","","FJ602819","","FJ602856","","",NA,NA,"Qinghai","NW"
"822","EPI_ISL_27747","","","","EPI171540 | A/bar-headed_goose/Qinghai/2/2008","","EPI171579 | A/bar-headed_goose/Qinghai/2/2008","","",NA,NA,"A/bar-headed goose/Qinghai/2/2008","A / H5N1",NA,"","Asia / China / Qinghai Province","Anser indicus","Unknown user","Other Database Import","","","","","2",2008.393,"",NA,NA,NA,NA,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown",NA,"Y","","",NA,"",NA,NA,"","","","",NA,"","","","FJ602817","","FJ602854","","",NA,NA,"Qinghai","NW"
"823","EPI_ISL_27746","","","","EPI171539 | A/bar-headed_goose/Qinghai/1/2008","","EPI171578 | A/bar-headed_goose/Qinghai/1/2008","","",NA,NA,"A/bar-headed goose/Qinghai/1/2008","A / H5N1",NA,"","Asia / China / Qinghai Province","Anser indicus","Unknown user","Other Database Import","","","","","1",2008.393,"",NA,NA,NA,NA,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown",NA,"Y","","",NA,"",NA,NA,"","","","",NA,"","","","FJ602816","","FJ602853","","",NA,NA,"Qinghai","NW"
"824","EPI_ISL_27739","","","","EPI171532 | A/bar-headed_goose/Qinghai/7/2007","","EPI171571 | A/bar-headed_goose/Qinghai/7/2007","","",NA,NA,"A/bar-headed goose/Qinghai/7/2007","A / H5N1",NA,"","Asia / China / Qinghai Province","Anser indicus","Unknown user","Other Database Import","","","","","7",2007.479,"",NA,NA,NA,NA,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown",NA,"Y","","",NA,"",NA,NA,"","","","",NA,"","","","FJ602809","","FJ602846","","",NA,NA,"Qinghai","NW"
"825","EPI_ISL_27738","","","","EPI171531 | A/bar-headed_goose/Qinghai/5/2007","","EPI171569 | A/bar-headed_goose/Qinghai/5/2007","","",NA,NA,"A/bar-headed goose/Qinghai/5/2007","A / H5N1",NA,"","Asia / China / Qinghai Province","Anser indicus","Unknown user","Other Database Import","","","","","5",2007.463,"",NA,NA,NA,NA,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown",NA,"Y","","",NA,"",NA,NA,"","","","",NA,"","","","FJ602808","","FJ602844","","",NA,NA,"Qinghai","NW"
"826","EPI_ISL_27734","","","","EPI171527 | A/bar-headed_goose/Qinghai/11/2006","","EPI171564 | A/bar-headed_goose/Qinghai/11/2006","","",NA,NA,"A/bar-headed goose/Qinghai/11/2006","A / H5N1",NA,"","Asia / China / Qinghai Province","Anser indicus","Unknown user","Other Database Import","","","","","11",2006.627,"",NA,NA,NA,NA,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown",NA,"Y","","",NA,"",NA,NA,"","","","",NA,"","","","FJ602804","","FJ602839","","",NA,NA,"Qinghai","NW"
"827","EPI_ISL_27727","","","","EPI171520 | A/bar-headed_goose/Qinghai/4/2006","","EPI171557 | A/bar-headed_goose/Qinghai/4/2006","","",NA,NA,"A/bar-headed goose/Qinghai/4/2006","A / H5N1",NA,"","Asia / China / Qinghai Province","Anser indicus","Unknown user","Other Database Import","","","","","4",2006.457,"",NA,NA,NA,NA,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown",NA,"Y","","",NA,"",NA,NA,"","","","",NA,"","","","FJ602797","","FJ602832","","",NA,NA,"Qinghai","NW"
"828","EPI_ISL_27726","","","","EPI171519 | A/bar-headed_goose/Qinghai/3/2006","","EPI171556 | A/bar-headed_goose/Qinghai/3/2006","","",NA,NA,"A/bar-headed goose/Qinghai/3/2006","A / H5N1",NA,"","Asia / China / Qinghai Province","Anser indicus","Unknown user","Other Database Import","","","","","3",2006.43,"",NA,NA,NA,NA,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown",NA,"Y","","",NA,"",NA,NA,"","","","",NA,"","","","FJ602796","","FJ602831","","",NA,NA,"Qinghai","NW"
"831","EPI_ISL_27760","","","","EPI171553 | A/brown-headed_gull/Qinghai/6/2007","","EPI171570 | A/brown-headed_gull/Qinghai/6/2007","","",NA,NA,"A/brown-headed gull/Qinghai/6/2007","A / H5N1",NA,"","Asia / China / Qinghai Province","Larus brunnicephalus","Unknown user","Other Database Import","","","","","6",2007.471,"",NA,NA,NA,NA,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown",NA,"Y","","",NA,"",NA,NA,"","","","",NA,"","","","FJ602867","","FJ602845","","",NA,NA,"Qinghai","NW"
"833","EPI_ISL_27744","","","","EPI171537 | A/great_black-headed_gull/Qinghai/12/2007","","EPI171576 | A/great_black-headed_gull/Qinghai/12/2007","","",NA,NA,"A/great black-headed gull/Qinghai/12/2007","A / H5N1",NA,"","Asia / China / Qinghai Province","Larus ichthyaetus","Unknown user","Other Database Import","","","","","12",2007.627,"",NA,NA,NA,NA,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown",NA,"Y","","",NA,"",NA,NA,"","","","",NA,"","","","FJ602814","","FJ602851","","",NA,NA,"Qinghai","NW"
"834","EPI_ISL_27740","","","","EPI171533 | A/great_black-headed_gull/Qinghai/8/2007","","EPI171572 | A/great_black-headed_gull/Qinghai/8/2007","","",NA,NA,"A/great black-headed gull/Qinghai/8/2007","A / H5N1",NA,"","Asia / China / Qinghai Province","Larus ichthyaetus","Unknown user","Other Database Import","","","","","8",2007.564,"",NA,NA,NA,NA,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown",NA,"Y","","",NA,"",NA,NA,"","","","",NA,"","","","FJ602810","","FJ602847","","",NA,NA,"Qinghai","NW"
"868","EPI_ISL_4542","EPI82188 | A/tree_sparrow/Henan/4/2004","EPI82196 | A/tree_sparrow/Henan/4/2004","EPI82204 | A/tree_sparrow/Henan/4/2004","EPI25088 | A/tree_sparrow/Henan/4/2004","EPI82212 | A/tree_sparrow/Henan/4/2004","EPI25090 | A/tree_sparrow/Henan/4/2004","EPI82223 | A/tree_sparrow/Henan/4/2004","EPI82232 | A/tree_sparrow/Henan/4/2004",NA,NA,"A/tree sparrow/Henan/4/2004","A / H5N1",NA,"","Asia / China / Henan Province","Other avian","Unknown user","Other Database Import","","","","","4",2004,"",NA,NA,NA,NA,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown",NA,"Y","","",NA,"",NA,NA,"","","","",NA,"DQ073402","DQ073406","DQ073410","AY741221","DQ073414","AY741222","DQ073418","DQ073422",NA,NA,"Henan","CT"
"869","EPI_ISL_4539","EPI82182 | A/tree_sparrow/Henan/1/2004","EPI82190 | A/tree_sparrow/Henan/1/2004","EPI82198 | A/tree_sparrow/Henan/1/2004","EPI25076 | A/tree_sparrow/Henan/1/2004","EPI82206 | A/tree_sparrow/Henan/1/2004","EPI25078 | A/tree_sparrow/Henan/1/2004","EPI82214 | A/tree_sparrow/Henan/1/2004","EPI82226 | A/tree_sparrow/Henan/1/2004",NA,NA,"A/tree sparrow/Henan/1/2004","A / H5N1",NA,"","Asia / China / Henan Province","Other avian","Unknown user","Other Database Import","","","","","1",2004,"",NA,NA,NA,NA,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown",NA,"Y","","",NA,"",NA,NA,"","","","",NA,"DQ073399","DQ073403","DQ073407","AY741215","DQ073411","AY741216","DQ073415","DQ073419",NA,NA,"Henan","CT"
"881","EPI_ISL_4138","EPI24827 | A/swine/Shandong/2/03","EPI24825 | A/swine/Shandong/2/03","EPI24823 | A/swine/Shandong/2/03","EPI22691 | A/swine/Shandong/2/03","EPI22695 | A/swine/Shandong/2/03","EPI22693 | A/swine/Shandong/2/03","EPI24831 | A/swine/Shandong/2/03","EPI24829 | A/swine/Shandong/2/03",NA,NA,"A/swine/Shandong/2/03","A / H5N1",NA,"","Asia / China / Shandong Province","Swine","Unknown user","Other Database Import","","","","","2",2003,"",NA,NA,NA,NA,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown",NA,"Y","","",NA,"",NA,NA,"","","","",NA,"AY700215","AY700214","AY700213","AY646424","AY646426","AY646425","AY700217","AY700216",NA,NA,"Shandong","BER"
"887","EPI_ISL_219770","EPI749414 | A/Environment/Hunan/18459/2014-PB2","EPI749415 | A/Environment/Hunan/18459/2014-PB1","EPI749413 | A/Environment/Hunan/18459/2014-PA","EPI749417 | A/Environment/Hunan/18459/2014-HA","EPI749410 | A/Environment/Hunan/18459/2014-NP","EPI749416 | A/Environment/Hunan/18459/2014-NA","EPI749412 | A/Environment/Hunan/18459/2014-MP","EPI749411 | A/Environment/Hunan/18459/2014-NS",NA,NA,"A/Environment/Hunan/18459/2014","A / H5N1",NA,"E2","Asia / China / Hunan","Environment","Lei Yang (WHO Chinese National Influenza Center / Virology Institute, Chinese CDC)","WHO Chinese National Influenza Center","","Wang,Dayan;Li,Xiaodan;Zou,Shumei;Zhang,Ye;Bo,Hong;Li,Xiyan;Chen,Wenbing;Yang,Lei;Shu,Yuelong","","","",2014.148,"",2016.354,2016.354,NA,NA,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown",NA,"Y","","",NA,"",NA,NA,"","","","",NA,"","","","","","","","",NA,NA,"Hunan","CT"
"888","EPI_ISL_219764","EPI749366 | A/environment/Guangxi/03206/2012-PB2","EPI749367 | A/environment/Guangxi/03206/2012-PB1","EPI749365 | A/environment/Guangxi/03206/2012-PA","EPI749369 | A/environment/Guangxi/03206/2012-HA","EPI749362 | A/environment/Guangxi/03206/2012-NP","EPI749368 | A/environment/Guangxi/03206/2012-NA","EPI749364 | A/environment/Guangxi/03206/2012-MP","EPI749363 | A/environment/Guangxi/03206/2012-NS",NA,NA,"A/environment/Guangxi/03206/2012","A / H5N1",NA,"E1","Asia / China / Guangxi","Environment","Lei Yang (WHO Chinese National Influenza Center / Virology Institute, Chinese CDC)","WHO Chinese National Influenza Center","","Wang,Dayan;Li,Xiaodan;Zou,Shumei;Zhang,Ye;Bo,Hong;Li,Xiyan;Chen,Wenbing;Yang,Lei;Shu,Yuelong","","","",2012.811,"",2016.354,2016.354,NA,NA,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown",NA,"Y","","",NA,"",NA,NA,"","","","",NA,"","","","","","","","",NA,NA,"Guangxi","SW"
