Id,source,latitude,longitude,region,country,admin1,localityName,localityQuality,observationDate,reportingDate,status,disease,serotypes,speciesDescription,sumAtRisk,sumCases,sumDeaths,sumDestroyed,sumSlaughtered,humansGenderDesc,humansAge,humansAffected,humansDeaths
100481,Other,46.75,82.95,Asia,China,Xinjiang Uygur Zizhiqu,Tarbagatai,Unknown,07/06/2005,08/06/2005,Confirmed,Influenza - Avian,H5N1 HPAI,"domestic, goose",2177,1042,460,,,,,,
100399,Other,37.26667,100.26667,Asia,China,Qinghai Sheng,Gangca Xian,Unknown,04/05/2005,09/05/2005,Confirmed,Influenza - Avian,H5N1 HPAI,"wild, bar-headed goose, wild, gull, wild, gull, wild, cormorant, wild, ruddy shelduck, wild, duck",,6000,6000,,,,,,
4978,Other,31.599,117.862,Asia,China,Anhui Sheng,Ju chao,Exact,28/06/2004,07/07/2004,Confirmed,Influenza - Avian,H5N1 HPAI,"domestic, chicken",8160,1850,1520,22000,,,,,
4058,Other,25.80167,113.05639,Asia,China,Hunan Sheng,Suxianqu,Unknown,23/01/2004,19/02/2004,Confirmed,Influenza - Avian,H5N1 HPAI,"domestic, duck",400,400,300,109200,,,,,
4002,Other,22.543447,114.057818,Asia,China,Guangdong Sheng,Shenzhen,Unknown,01/02/2004,01/02/2004,Confirmed,Influenza - Avian,H5N1 HPAI,"captive, swan",,66,66,142,,,,,
3996,Other,25.118,114.312,Asia,China,Guangdong Sheng,Huangkeng,Exact,06/02/2004,16/02/2004,Confirmed,Influenza - Avian,H5N1 HPAI,"domestic, unspecified bird, domestic, chicken, domestic, goose",,750,500,156458,,,,,
3994,Other,25.339,103.037,Asia,China,Yunnan Sheng,Songming,Exact,12/02/2004,16/02/2004,Confirmed,Influenza - Avian,H5N1 HPAI,"domestic, unspecified bird, domestic, duck, domestic, chicken",,219,219,82652,,,,,
3990,Other,30.083,115.938,Asia,China,Hubei Sheng,Huangmei,Exact,04/02/2004,16/02/2004,Confirmed,Influenza - Avian,H5N1 HPAI,"domestic, unspecified bird, domestic, chicken, domestic, duck, domestic, goose",,2290,2290,4580,,,,,
3962,Other,45.76667,123.76667,Asia,China,Jilin Sheng,Yanjiang,Unknown,14/02/2004,16/02/2004,Confirmed,Influenza - Avian,H5N1 HPAI,"domestic, chicken",,49,49,49,,,,,
3956,Other,29.65,91.1,Asia,China,Xizang Zizhiqu,Lhasa,Unknown,08/02/2004,16/02/2004,Confirmed,Influenza - Avian,H5N1 HPAI,"domestic, chicken",,425,425,425,,,,,
3932,Other,21.85,111.96667,Asia,China,Guangdong Sheng,Jiangcheng,Unknown,03/02/2004,12/02/2004,Confirmed,Influenza - Avian,H5N1 HPAI,"domestic, goose",,760,497,167732,,,,,
3928,Other,28.579,112.374,Asia,China,Hunan Sheng,Yuejiaqiao,Exact,27/01/2004,12/02/2004,Confirmed,Influenza - Avian,H5N1 HPAI,"domestic, duck, domestic, chicken, domestic, chicken",,321,296,120300,,,,,
3924,Other,27.27667,111.66806,Asia,China,Hunan Sheng,Niumasi,Unknown,27/01/2004,12/02/2004,Confirmed,Influenza - Avian,H5N1 HPAI,"domestic, duck, domestic, chicken, domestic, chicken",,840,457,58600,,,,,
3922,Other,29.83333,115.16667,Asia,China,Hubei Sheng,Xingguo,Unknown,02/02/2004,12/02/2004,Confirmed,Influenza - Avian,H5N1 HPAI,"domestic, chicken, domestic, duck",,86,86,24249,,,,,
3918,Other,30.26472,111.64639,Asia,China,Hubei Sheng,Chendian,Unknown,30/01/2004,12/02/2004,Confirmed,Influenza - Avian,H5N1 HPAI,"domestic, duck, domestic, chicken, domestic, chicken, domestic, goose",,187,187,15470,,,,,
3916,Other,30.06056,112.22417,Asia,China,Hubei Sheng,Gong An,Unknown,31/01/2004,12/02/2004,Confirmed,Influenza - Avian,H5N1 HPAI,"domestic, duck, domestic, chicken, domestic, chicken, domestic, goose",,264,264,25258,,,,,
3914,Other,29.9,113.4,Asia,China,Hubei Sheng,Hong Hu,Unknown,30/01/2004,12/02/2004,Confirmed,Influenza - Avian,H5N1 HPAI,"domestic, duck, domestic, chicken, domestic, chicken, domestic, goose",,638,638,56549,,,,,
3910,Other,29.85,115.55,Asia,China,Hubei Sheng,Wuxue,Unknown,26/01/2004,30/01/2004,Confirmed,Influenza - Avian,H5N1 HPAI,"domestic, duck, domestic, chicken, domestic, chicken, domestic, goose",,,1400,193321,,,,,
3906,Other,30.77111,111.32167,Asia,China,Hubei Sheng,Yichang,Unknown,28/01/2004,28/01/2004,Confirmed,Influenza - Avian,H5N1 HPAI,"domestic, duck, domestic, chicken, domestic, chicken",,,4703,19313,,,,,
3902,Other,23.55,116.35,Asia,China,Guangdong Sheng,Jieyang,Exact,30/01/2004,30/01/2004,Confirmed,Influenza - Avian,H5N1 HPAI,"domestic, unspecified bird, domestic, chicken, domestic, duck, domestic, goose",,2500,1300,90670,,,,,
3900,Media,26.732,110.629,Asia,China,Hunan Sheng,Wugang,Exact,26/01/2004,30/01/2004,Confirmed,Influenza - Avian,H5N1 HPAI,"domestic, duck, domestic, chicken, domestic, chicken, domestic, goose",,,1300,131600,,,,,
3898,Other,43.8,87.58333,Asia,China,Xinjiang Uygur Zizhiqu,Urumqi,Unknown,23/01/2004,10/02/2004,Confirmed,Influenza - Avian,H5N1 HPAI,"domestic, chicken",,,4058,15605,,,,,
3890,Other,34.56528,110.06639,Asia,China,Shaanxi Sheng,Huayin,Unknown,07/02/2004,10/02/2004,Confirmed,Influenza - Avian,H5N1 HPAI,"domestic, duck, domestic, chicken, domestic, chicken, domestic, goose",22700,377,377,59159,,,,,
3888,Media,22.81667,108.31667,Asia,China,Guangxi Zhuangzu Zizhiqu,Nanning,Unknown,07/02/2004,10/02/2004,Confirmed,Influenza - Avian,H5N1 HPAI,"domestic, duck, domestic, chicken, domestic, chicken, domestic, goose",,600,450,199192,,,,,
3884,Other,39.14222,117.17667,Asia,China,Tianjin Shi,Tianjin,Unknown,08/02/2004,10/02/2004,Confirmed,Influenza - Avian,H5N1 HPAI,"domestic, duck, domestic, chicken, domestic, chicken, domestic, goose",,236,236,45721,,,,,
3876,Other,21.697,110.904,Asia,China,Guangdong Sheng,Maoming,Exact,07/02/2004,10/02/2004,Confirmed,Influenza - Avian,H5N1 HPAI,"domestic, duck, domestic, chicken, domestic, chicken",,310,200,23498,,,,,
3872,Other,22.232,113.196,Asia,China,Guangdong Sheng,Doumen,Exact,07/02/2004,10/02/2004,Confirmed,Influenza - Avian,H5N1 HPAI,"domestic, duck, domestic, unspecified bird, domestic, chicken",,1140,2172,31172,,,,,
3862,Other,31.17833,115.03194,Asia,China,Hubei Sheng,Macheng,Unknown,05/02/2004,10/02/2004,Confirmed,Influenza - Avian,H5N1 HPAI,"domestic, duck, domestic, chicken, domestic, chicken",107532,6579,318,108250,,,,,
3858,Other,24.90583,102.49167,Asia,China,Yunnan Sheng,Lianran,Unknown,05/02/2004,10/02/2004,Confirmed,Influenza - Avian,H5N1 HPAI,"domestic, duck, domestic, chicken, domestic, chicken, domestic, goose",366,55,33,110586,,,,,
3854,Other,25.76333,102.52333,Asia,China,Yunnan Sheng,Tuanjie,Unknown,04/02/2004,10/02/2004,Confirmed,Influenza - Avian,H5N1 HPAI,"domestic, duck, domestic, quail, domestic, chicken, domestic, chicken",,8326,8326,15651,,,,,
3848,Other,28.48694,115.11361,Asia,China,Jiangxi Sheng,Wanxi,Unknown,02/02/2004,02/02/2004,Confirmed,Influenza - Avian,H5N1 HPAI,"domestic, duck, domestic, quail, domestic, chicken, domestic, chicken",,,400,1292733,,,,,
3842,Media,32.95389,114.62722,Asia,China,Henan Sheng,Pingyu,Unknown,02/02/2004,02/02/2004,Confirmed,Influenza - Avian,H5N1 HPAI,"domestic, chicken",2600,1500,790,1810,,,,,
3734,Other,22.9525,115.43333,Asia,China,Guangdong Sheng,Ketang,Unknown,28/01/2004,06/02/2004,Confirmed,Influenza - Avian,H5N1 HPAI,"domestic, duck",750,750,195,88607,,,,,
3730,Other,22.73333,111.45,Asia,China,Guangdong Sheng,Lishao,Unknown,05/02/2004,06/02/2004,Confirmed,Influenza - Avian,H5N1 HPAI,"domestic, duck, domestic, chicken, domestic, chicken",1252,1252,750,9957,,,,,
3724,Other,24.75861,103.26528,Asia,China,Yunnan Sheng,Lufu,Unknown,26/01/2004,06/02/2004,Confirmed,Influenza - Avian,H5N1 HPAI,"domestic, duck, domestic, chicken, domestic, chicken",7400,3474,2653,253389,,,,,
3720,Other,28.236,116.59,Asia,China,Jiangxi Sheng,Dongxiangxian,Exact,02/02/2004,06/02/2004,Confirmed,Influenza - Avian,H5N1 HPAI,"domestic, duck, domestic, unspecified bird, domestic, chicken",3696,841,585,56064,,,,,
3714,Media,31.675,118.48333,Asia,China,Anhui Sheng,Yushan,Unknown,05/02/2004,05/02/2004,Confirmed,Influenza - Avian,H5N1 HPAI,"domestic, chicken",,,18200,1585,,,,,
